计数            温度            样品电压          样品电流          霍尔电势          磁场强度          励磁电流
1             297.6         -0.2963       -0.5635       -0.0902       65.7          1.4150
2             297.6         -0.2970       -0.5635       -0.0905       66.7          1.4150
3             297.7         -0.2932       -0.5552       -0.0891       60.9          1.4150
4             297.6         -0.2818       -0.5537       -0.0801       39.1          1.4150
5             297.6         -0.2548       -0.5472       -0.0625       11.2          1.4150
6             297.7         -0.2073       -0.5401       0.0013        11.2          0.1550
7             297.7         -0.2164       -0.5389       0.0598        -17.9         0.7620
8             297.6         -0.2610       -0.5312       0.0783        -42.7         1.4130
9             297.6         -0.2741       -0.5312       0.0824        -63.6         1.4150
10            297.6         -0.2773       -0.5308       0.0834        -66.9         1.4150
11            297.6         -0.2766       -0.5272       0.0826        -68.6         1.4150
12            297.6         -0.2751       -0.5227       0.0830        -69.6         1.4150
13            297.6         -0.2757       -0.5156       0.0820        -68.2         1.4150
14            297.6         -0.2658       -0.5148       0.0761        -38.8         1.4150
15            297.6         -0.2454       -0.5067       0.0608        -38.8         1.4150
16            297.5         -0.2008       -0.5067       0.0148        -17.1         0.0850
17            297.6         -0.1896       -0.4987       -0.0460       9.6           0.8120
18            297.6         -0.1784       -0.4987       -0.0712       42.8          1.3750
19            297.6         -0.2565       -0.4987       -0.0780       61.8          1.3750
20            297.6         -0.2562       -0.4906       -0.0778       64.1          1.4150
21            297.6         -0.2575       -0.4906       -0.0784       65.9          1.4150
22            297.6         -0.2567       -0.4824       -0.0774       65.9          1.4150
23            297.6         -0.2545       -0.4824       -0.0776       66.7          1.4150
24            297.7         -0.2521       -0.4744       -0.0739       63.3          1.4160
25            297.6         -0.2305       -0.4744       -0.0607       34.1          1.4160
26            297.6         -0.1990       -0.4744       -0.0278       11.5          0.1490
27            297.7         -0.1669       -0.4664       0.0308        -23.0         0.8770
28            297.7         -0.2147       -0.4664       0.0642        -51.6         0.8770
29            297.6         -0.2342       -0.4582       0.0703        -63.6         1.4130
30            297.6         -0.2385       -0.4581       0.0717        -67.4         1.4150
31            297.6         -0.2359       -0.4501       0.0710        -67.4         1.4150
32            297.6         -0.2367       -0.4501       0.0713        -68.6         1.4150
33            297.6         -0.2350       -0.4419       0.0702        -69.5         1.4150
34            297.6         -0.2328       -0.4419       0.0678        -64.5         1.4150
35            297.6         -0.2171       -0.4419       0.0580        -39.0         1.4150
36            297.6         -0.1907       -0.4339       0.0383        -10.1         0.2000
37            297.6         -0.1530       -0.4317       -0.0226       18.1          0.2000
38            297.6         -0.1924       -0.4258       -0.0563       42.7          0.8080
39            297.6         -0.2143       -0.4186       -0.0654       61.4          1.3420
40            297.6         -0.2172       -0.4177       -0.0660       61.4          1.4150
41            297.6         -0.2190       -0.4161       -0.0665       64.1          1.4150
42            297.6         -0.2154       -0.4093       -0.0655       65.4          1.4150
43            297.6         -0.2158       -0.4093       -0.0657       66.7          1.4150
44            297.7         -0.2135       -0.4045       -0.0636       57.0          1.4150
45            297.7         -0.2007       -0.4013       -0.0565       28.1          1.4160
46            297.7         -0.1830       -0.3929       -0.0400       28.1          1.4160
47            297.7         -0.1409       -0.3929       0.0099        4.9           0.5080
48            297.7         -0.1671       -0.3929       0.0478        -38.8         1.2150
49            297.6         -0.1894       -0.3848       0.0575        -61.2         1.2150
50            297.6         -0.1993       -0.3777       0.0599        -61.2         1.4150
51            297.6         -0.1971       -0.3768       0.0592        -66.7         1.4150
52            297.6         -0.1978       -0.3768       0.0595        -68.5         1.4150
53            297.6         -0.1942       -0.3687       0.0585        -69.6         1.4150
54            297.6         -0.1944       -0.3687       0.0586        -69.6         1.4150
55            297.6         -0.1850       -0.3606       0.0518        -58.2         1.4150
56            297.6         -0.1684       -0.3606       0.0390        -27.5         1.4150
57            297.6         -0.1320       -0.3579       0.0013        -1.6          0.3740
58            297.6         -0.1398       -0.3526       -0.0389       31.7          0.3740
59            297.6         -0.1707       -0.3453       -0.0522       31.7          1.1030
60            297.6         -0.1783       -0.3445       -0.0540       59.7          1.4150
61            297.6         -0.1801       -0.3364       -0.0547       63.3          1.4150
62            297.6         -0.1767       -0.3364       -0.0537       65.4          1.4150
63            297.6         -0.1773       -0.3364       -0.0539       66.4          1.4150
64            297.6         -0.1733       -0.3284       -0.0528       65.7          1.4150
65            297.7         -0.1698       -0.3284       -0.0485       65.1          1.4150
66            297.6         -0.1516       -0.3203       -0.0393       64.4          1.4150
67            297.7         -0.1295       -0.3203       -0.0107       -10.3         0.0350
68            297.7         -0.1186       -0.3122       0.0179        -10.3         0.6050
69            297.7         -0.1478       -0.3122       0.0443        -37.0         1.3920
70            297.6         -0.1605       -0.3122       0.0481        -64.5         1.3920
71            297.6         -0.1585       -0.3042       0.0476        -67.5         1.4150
72            297.6         -0.1594       -0.2967       0.0479        -67.5         1.4150
73            297.6         -0.1555       -0.2958       0.0468        -68.8         1.4150
74            297.6         -0.1559       -0.2876       0.0469        -69.6         1.4110
75            297.6         -0.1503       -0.2876       0.0431        -60.3         1.4070
76            297.6         -0.1386       -0.2876       0.0367        -34.3         1.4030
77            297.6         -0.1185       -0.2805       0.0174        -4.5          0.3140
78            297.6         -0.0999       -0.2793       -0.0214       23.5          0.3140
79            297.6         -0.1288       -0.2710       -0.0373       48.0          0.9220
80            297.6         -0.1383       -0.2710       -0.0419       62.2          1.4100
81            297.6         -0.1411       -0.2628       -0.0417       62.2          1.4150
82            297.6         -0.1378       -0.2628       -0.0418       64.6          1.4150
83            297.6         -0.1382       -0.2547       -0.0420       65.7          1.4150
84            297.6         -0.1343       -0.2547       -0.0408       66.7          1.4150
85            297.7         -0.1339       -0.2547       -0.0397       60.4          1.4150
86            297.7         -0.1335       -0.2467       -0.0335       30.6          1.4150
87            297.7         -0.1331       -0.2467       -0.0200       6.4           1.4150
88            297.7         -0.0842       -0.2387       0.0107        -18.5         0.2440
89            297.7         -0.1061       -0.2386       0.0308        -18.5         0.7790
