计数            温度            样品电压          样品电流          霍尔电势          磁场强度          励磁电流
1             296.1         0.0820        0.1414        0.2086        86.5          1.8040
2             296.0         0.0822        0.1414        0.2090        87.5          1.8200
3             296.0         0.0823        0.1414        0.2098        88.1          1.8380
4             296.1         0.0825        0.1414        0.2104        89.1          1.8550
5             296.0         0.0827        0.1414        0.2109        89.9          1.8700
6             296.1         0.0828        0.1414        0.2114        90.5          1.8880
7             296.0         0.0829        0.1414        0.2121        91.5          1.8880
8             296.1         0.0832        0.1414        0.2126        92.3          1.9030
9             296.1         0.0833        0.1414        0.2132        93.1          1.9140
10            296.1         0.0834        0.1415        0.2139        93.1          1.9350
11            296.1         0.0837        0.1414        0.2144        93.9          1.9470
12            296.0         0.0838        0.1414        0.2150        94.6          1.9670
13            296.1         0.0839        0.1414        0.2157        95.5          1.9830
14            296.1         0.0842        0.1414        0.2162        96.2          2.0000
15            296.1         0.0843        0.1414        0.2168        97.0          2.0150
16            296.1         0.0844        0.1415        0.2175        97.8          2.0150
17            296.0         0.0846        0.1414        0.2180        98.6          2.0330
18            296.1         0.0848        0.1414        0.2186        99.4          2.0440
19            296.1         0.0849        0.1414        0.2193        99.4          2.0660
20            296.1         0.0851        0.1414        0.2198        100.2         2.0770
21            296.0         0.0853        0.1414        0.2204        100.9         2.0970
22            296.0         0.0854        0.1414        0.2211        101.8         2.1110
23            296.1         0.0856        0.1414        0.2215        102.6         2.1290
24            296.1         0.0857        0.1414        0.2222        103.4         2.1420
25            296.1         0.0859        0.1414        0.2228        104.1         2.1420
26            296.1         0.0860        0.1414        0.2235        104.1         2.1630
27            296.1         0.0862        0.1414        0.2238        105.0         2.1790
28            296.0         0.0863        0.1414        0.2247        105.7         2.1960
29            296.1         0.0866        0.1414        0.2253        106.7         2.2150
30            296.1         0.0868        0.1414        0.2257        107.5         2.2290
31            296.1         0.0869        0.1414        0.2263        108.3         2.2450
32            296.1         0.0871        0.1414        0.2270        109.1         2.2450
33            296.1         0.0873        0.1414        0.2275        109.7         2.2610
34            296.1         0.0875        0.1414        0.2283        110.5         2.2720
35            296.1         0.0876        0.1414        0.2289        110.5         2.2930
36            296.1         0.0878        0.1414        0.2293        111.3         2.3070
37            296.1         0.0880        0.1414        0.2299        112.0         2.3250
38            296.1         0.0882        0.1414        0.2306        112.9         2.3430
39            296.1         0.0883        0.1415        0.2311        113.6         2.3580
40            296.1         0.0884        0.1414        0.2317        114.4         2.3740
41            296.1         0.0886        0.1415        0.2325        115.2         2.3740
42            296.1         0.0889        0.1415        0.2331        116.0         2.3920
43            296.1         0.0890        0.1415        0.2336        116.8         2.4020
44            296.1         0.0892        0.1415        0.2343        116.8         2.4240
45            296.1         0.0894        0.1415        0.2347        117.6         2.4350
46            296.1         0.0895        0.1414        0.2354        118.3         2.4550
47            296.1         0.0897        0.1414        0.2361        119.1         2.4690
48            296.1         0.0899        0.1415        0.2366        119.9         2.4880
49            296.1         0.0900        0.1415        0.2372        120.7         2.5020
50            296.1         0.0902        0.1415        0.2378        121.5         2.5020
51            296.1         0.0904        0.1415        0.2385        121.5         2.5210
52            296.1         0.0905        0.1415        0.2390        122.5         2.5370
53            296.1         0.0907        0.1414        0.2397        122.9         2.5540
54            296.1         0.0909        0.1414        0.2402        123.9         2.5740
55            296.1         0.0911        0.1415        0.2408        124.7         2.5870
56            296.1         0.0913        0.1415        0.2416        125.7         2.6050
57            296.1         0.0914        0.1415        0.2421        126.3         2.6050
